"U:0,""U:1"",""U:2"",""p"",""vtkValidPointMask"",""arc_length"",""Points:0"",""Points:1"",""Points:2"""
0.060057,-8.434e-07,0,0,1,0,1.5,0,0
0.060062,-8.8569e-07,0,-5.0066e-19,1,1e-05,1.5,1e-05,0
0.060067,-9.2797e-07,0,0,1,2e-05,1.5,2e-05,0
0.060072,-9.7026e-07,0,0,1,3e-05,1.5,3e-05,0
0.060077,-1.0125e-06,0,0,1,4e-05,1.5,4e-05,0
0.060081,-1.0548e-06,0,0,1,5e-05,1.5,5e-05,0
0.060086,-1.0971e-06,0,0,1,6e-05,1.5,6e-05,0
0.060091,-1.1394e-06,0,0,1,7e-05,1.5,7e-05,0
0.060096,-1.1817e-06,0,0,1,8e-05,1.5,8e-05,0
0.060101,-1.224e-06,0,0,1,9e-05,1.5,9e-05,0
0.060106,-1.2663e-06,0,0,1,0.0001,1.5,0.0001,0
0.060111,-1.3085e-06,0,0,1,0.00011,1.5,0.00011,0
0.060116,-1.3508e-06,0,0,1,0.00012,1.5,0.00012,0
0.06012,-1.3931e-06,0,0,1,0.00013,1.5,0.00013,0
0.060125,-1.4354e-06,0,0,1,0.00014,1.5,0.00014,0
0.06013,-1.4777e-06,0,0,1,0.00015,1.5,0.00015,0
0.060135,-1.52e-06,0,0,1,0.00016,1.5,0.00016,0
0.06014,-1.5623e-06,0,0,1,0.00017,1.5,0.00017,0
0.060145,-1.6045e-06,0,0,1,0.00018,1.5,0.00018,0
0.06015,-1.6468e-06,0,0,1,0.00019,1.5,0.00019,0
0.060155,-1.6891e-06,0,0,1,0.0002,1.5,0.0002,0
0.060159,-1.7314e-06,0,0,1,0.00021,1.5,0.00021,0
0.060164,-1.7737e-06,0,0,1,0.00022,1.5,0.00022,0
0.060169,-1.816e-06,0,0,1,0.00023,1.5,0.00023,0
0.060174,-1.8582e-06,0,0,1,0.00024,1.5,0.00024,0
0.060179,-1.9005e-06,0,0,1,0.00025,1.5,0.00025,0
0.060189,-2.0004e-06,0,0,1,0.00026,1.5,0.00026,0
0.060199,-2.1003e-06,0,0,1,0.00027,1.5,0.00027,0
0.060208,-2.2001e-06,0,-5.0064e-19,1,0.00028,1.5,0.00028,0
0.060218,-2.3e-06,0,0,1,0.00029,1.5,0.00029,0
0.060228,-2.3999e-06,0,0,1,0.0003,1.5,0.0003,0
0.060238,-2.4997e-06,0,0,1,0.00031,1.5,0.00031,0
0.060248,-2.5996e-06,0,0,1,0.00032,1.5,0.00032,0
0.060257,-2.6995e-06,0,-5.0064e-19,1,0.00033,1.5,0.00033,0
0.060267,-2.7993e-06,0,0,1,0.00034,1.5,0.00034,0
0.060277,-2.8992e-06,0,0,1,0.00035,1.5,0.00035,0
0.060287,-2.9991e-06,0,0,1,0.00036,1.5,0.00036,0
0.060296,-3.0989e-06,0,0,1,0.00037,1.5,0.00037,0
0.060306,-3.1988e-06,0,0,1,0.00038,1.5,0.00038,0
0.060316,-3.2987e-06,0,0,1,0.00039,1.5,0.00039,0
0.060326,-3.3985e-06,0,0,1,0.0004,1.5,0.0004,0
0.060336,-3.4984e-06,0,0,1,0.00041,1.5,0.00041,0
0.060345,-3.5983e-06,0,0,1,0.00042,1.5,0.00042,0
0.060355,-3.6981e-06,0,0,1,0.00043,1.5,0.00043,0
0.060365,-3.798e-06,0,0,1,0.00044,1.5,0.00044,0
0.060375,-3.8979e-06,0,0,1,0.00045,1.5,0.00045,0
0.060385,-3.9977e-06,0,0,1,0.00046,1.5,0.00046,0
0.060394,-4.0976e-06,0,0,1,0.00047,1.5,0.00047,0
0.060404,-4.1975e-06,0,0,1,0.00048,1.5,0.00048,0
0.060414,-4.2973e-06,0,0,1,0.00049,1.5,0.00049,0
0.060424,-4.3972e-06,0,0,1,0.0005,1.5,0.0005,0
0.060434,-4.5195e-06,0,0,1,0.00051,1.5,0.00051,0
0.060444,-4.6417e-06,0,0,1,0.00052,1.5,0.00052,0
0.060454,-4.764e-06,0,0,1,0.00053,1.5,0.00053,0
0.060464,-4.8862e-06,0,5.0255e-19,1,0.00054,1.5,0.00054,0
0.060474,-5.0085e-06,0,0,1,0.00055,1.5,0.00055,0
0.060483,-5.1307e-06,0,0,1,0.00056,1.5,0.00056,0
0.060493,-5.253e-06,0,0,1,0.00057,1.5,0.00057,0
0.060503,-5.3753e-06,0,0,1,0.00058,1.5,0.00058,0
0.060513,-5.4975e-06,0,0,1,0.00059,1.5,0.00059,0
0.060523,-5.6198e-06,0,0,1,0.0006,1.5,0.0006,0
0.060533,-5.742e-06,0,0,1,0.00061,1.5,0.00061,0
